id_review;judul_review;isi_review;value_sentiment;location_sentiment;service_sentiment;meal_sentiment;facility_sentiment;room_sentiment;quality_sentiment;staff_sentiment;surrounding_sentiment
562844641.0;Makanan banyak sotone mak yus;Senang karena pelayananya ok dan hotelnya bersih terutama kamar yang saya tinggal, saat check in cepet check out juga cepet saya suka banget soto ayamnya ok banget over all servicenya ok banget. Tks ya;0;0;pos;pos;0;pos;0;0;0
563085664.0;Recomended hotel di jogja;Hotelnya sangat nyaman. Lokasinya yang strategis memudahkan kita untuk pergi kemana-mana. Disini juga terdapat Malabar restaurant yang menyediakan berbagai variasi menu dan promo. Thank you hotel horison yogyakarta.;0;0;0;pos;0;0;pos;0;pos
567386333.0;Tempat yang OK;Berdekatan dengan MM. Tempatnya bersih. Kamarnya luas dan kamar mandinya bersih. Sarapannya bervariasi dan enak-enak. Kolam renangnya ngga terlalu besar tapi selalu penuh dengan anak-anak. Para staffnya sangat membantu dan baik.;0;0;pos;pos;0;0;pos;0;pos
561988773.0;Liburan ;Liburan panjang imlek, waktunya ajak keluarga kerumah nenek di bekasi sambil menghadiri acara Kopdar Akbar Menembus Batas 2 Ertiga Club Indonesia di Betos. Panitia kopdar akbar sudah bekerjasama dgn beberapa hotel yang dekat dengan lokasi acara. Tp seperti biasanya, anak-anak memilih Hotel Horison utk bermalam. Libur panjang membuat kamar single bed penuh. Kami harus waiting list karena banyaknya tamu yg waiting list juga. Cukup cemas kalau hrs lama menunggu karena sy bawa anak bayi usia 9bulan yg harus cpt istirahat. Alhamdulillah ada mbak Ajeng yg dengan cekatan trs memfollow up mengenai ketersediaan kamar. Tidak menunggu lama, kami pun bisa cepat dapat kamar. Terimakasih;0;0;pos;0;0;0;0;pos;0
562398717.0;Acara Kantor;Tempatnya bersih, nyaman, pelayanannya bagus. nggak perlu minta dirapikan kamarnya ada inisiatif pihak hotel untuk merapikan kamar tanpa ada barang kita yang hilang satupun. menu makanan coffe break maupun makan berat enak.;0;0;pos;pos;0;0;pos;0;0
562592544.0;Hotel nyaman buat rapat dan kunjungan;Hotel yang nyaman sekali buat rapat kerja dan berlibur dengan berbagai fasilitas yang Bagus serta sarapan yang sangat luar biasa lengkap enak, dan hotel juga menyediakan promo berupa steak tenderloin yg di bandrol dengan harga 55rb dengan rasa yg luar biasa mantap.. Hotel ini membuat saya sangat tertarik mengajak keluarga saya untuk menikmati rasa kekeluargaan yang kental di jogjakarta dengan menginap dihotel ini..;0;0;0;pos;0;0;pos;0;0
566230138.0;reccomended banget;gak salah pilih hotel ini sebagai tempat menginap. karyawan yang ramah, kamarnya bersih, fasilitasnya lengkap, makanan nya juga enak baget.. tersedia banyakk pilihan menu saat breakfast, terus pas pesen makan malem2 juga masih di layani. terima kasih :);0;0;pos;pos;pos;0;pos;pos;0
560447642.0;Recomended hotel is Horison Yogyakarta;Lokasi yg sangat strategis dan sangat mudah dalam hal akses nya...baik dari bandara ataupun stasiun kereta api...fasilitas pendukung di sekitarnya pun sangat sangat menghibur...mulai dari pusat perbelanjaan sampai bioskop.. Sangat recomended untuk wisatawan yg ingin menghabiskan liburannya di kota Yogyakarta...;0;pos;0;0;0;0;0;0;pos
570967356.0;Hotel dengan view pantai barat & pantai timur;menginap di Horison Palma Pangandaran sangat nyaman,kami menginap di kamar Family Palma dengan view pantai barat, jadi bangun tidur, buka jendela langsung lihat view laut yang sangat indah, sarapan cukup bervariatif sangat menyenangkan bagi anak-anak kami, terima kasih;0;pos;0;pos;0;0;0;0;0
562072116.0;Good locate. Good n nice people. Good swimming pool;Tempat nya bagus dan deket dr tempat keramaian. Banyak tempat makan n bar dan yg paling terutama deket dengan pantai. Hanya cukup berjalan kaki aja tanpa menggunakan mobil. Orang nya baik semua dan ramah tamah;0;0;0;0;0;0;0;pos;pos
